clip_name,video_url,clip_duration,rating
TheProfessional_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAc1pkY0hhWDdiS3M/view?usp=share_link&resourcekey=0-ow7Y8gli-_eJvxDcmmzsEw,172.18,negative
ThereIsSomethingAboutMary_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAMnVIUnZjNEFpbkE/view?usp=share_link&resourcekey=0-tjYTtJBUGWfwrDaKCjf1Bw,182.76,positive
ThereIsSomethingAboutMary_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAb2F3SkxDTDNYMFU/view?usp=share_link&resourcekey=0-52sslRnDxUVetgGurIifyA,193.04,positive
TheShining_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mANUNMRWF2TWduRlU/view?usp=share_link&resourcekey=0-BR4YlNWO1KJ88c1wnBs7-Q,83.75,positive
TheShining_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAZ1psMmg0NVNTUHc/view?usp=share_link&resourcekey=0-tNN8WLdNqDbghWTTKI3y2g,285.53,negative
TheShining_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAdTFrTWY1ZWhtSVE/view?usp=share_link&resourcekey=0-nUrNnKPEiEM0F5YKbHPw0A,143.5,negative
TheSilenceOfTheLambs(a)_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAYVExZG1KSEc2VmM/view?usp=share_link&resourcekey=0-NfB_J8u1roXRC7A-kTrAzw,12.75,positive
TheSilenceOfTheLambs(b)_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAbnl3bER0MjdvZWs/view?usp=share_link&resourcekey=0-TfMBFvU9IOxjeKTpE8py7w,181.25,negative
Trainspotting_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAUFRBcWRHTlJESG8/view?usp=share_link&resourcekey=0-hMcfR3rs2K5NMZdRKpN7og,101.01,negative
Trainspotting_clip_2,https://drive.google.com/file/d/0B5S5TDsmc6mAdXM4bTRPLTF0UkU/view?usp=share_link&resourcekey=0-bBfc04d31BInWwTIuJFgww,104.23,negative
Trainspotting_clip_3,https://drive.google.com/file/d/0B5S5TDsmc6mAZjNxa2tYSkswekU/view?usp=share_link&resourcekey=0-bN9NPdEnK2htWo0pWE89OQ,65.09,negative
Whenamanlovesawoman_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mARkdkRXA3S2RaTE0/view?usp=share_link&resourcekey=0-sN4v10iHU_fDny55K_oKwQ,96.13,positive
WhenHarryMetSally_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mASWhNeDM1LTg5Rkk/view?usp=share_link&resourcekey=0-LuWtFE49Jkx8QKY6NW3rBg,155.67,positive
WildAlaska_clip_1,https://drive.google.com/file/d/0B5S5TDsmc6mAdmljM0IyMmIyUkE/view?usp=share_link&resourcekey=0-kc5FzqBO51elyQhyY2Z86Q,60.02,positive
